legacy_timestamp	log_before	log_after	mer_before	mer_after
2026-02-26T04:43:02Z	0099_699FC6D7.BIN	0099_699FC6D7.BIN	0099_69ADE81B.MER	0099_69ADE81B.MER
2026-05-01T05:49:44Z	0099_69F433D5.BIN	0099_69F433D5.BIN	0099_6A025445.MER	0099_6A025445.MER
2026-06-02T07:05:48Z	0099_6A1E7E2D.BIN	0099_6A1E7E2D.BIN	0099_6A2C989D.MER	0099_6A2C989D.MER
2026-06-12T23:46:35Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-12T23:59:26Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-13T00:07:27Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-13T00:22:48Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T15:44:14Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T15:53:54Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T16:02:24Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T16:07:08Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T16:19:23Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
2026-06-23T16:28:13Z	0099_6A1E7E2D.BIN	<none>	0099_6A2C989D.MER	<none>
