legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-10-21T08:45:21Z	0026_5DAD6EB7.LOG	0026_5DAD6EB7.LOG	0026_5DB45A27.MER	0026_5DB45A27.MER
2019-10-26T14:45:30Z	0026_5DB45A66.LOG	0026_5DB45A66.LOG	0026_5DBC161D.MER	0026_5DBC161D.MER
2020-01-27T11:26:36Z	0026_5E2EBEDF.LOG	0026_5E2EBEDF.LOG	0026_5E31DB4C.MER	0026_5E31DB4C.MER
2021-05-31T06:40:09Z	0026_60B48371.LOG	0026_60B48371.LOG	0026_60BFA401.MER	0026_60BFA401.MER
2021-09-25T04:41:45Z	0026_614EA732.LOG	0026_614EA732.LOG	0026_61584C2A.MER	0026_61584C2A.MER
2022-09-02T06:04:34Z	0026_63119952.LOG	0026_63119952.LOG	0026_631CC068.MER	0026_631CC068.MER
2023-04-28T08:56:22Z	0026_644B8778.LOG	0026_644B8778.LOG	0026_6456AA5A.MER	0026_6456AA5A.MER
2023-05-21T21:32:29Z	0026_646A8C58.LOG	0026_646A8C58.LOG	0026_646E8586.MER	0026_646E8586.MER
2025-08-12T05:08:25Z	0026_688FA7D2.LOG	<none>	0026_689AC972.MER	<none>
