legacy_timestamp	log_before	log_after	mer_before	mer_after
2023-06-20T06:35:16Z	0100_6491453E.BIN	0100_6491453E.BIN	0100_6492BBAB.MER	0100_6492BBAB.MER
2023-06-21T09:05:47Z	0100_6492BBF7.BIN	0100_6492BBF7.BIN	0100_649FF0EC.MER	0100_649FF0EC.MER
2023-07-31T10:31:56Z	0100_64C773A8.BIN	0100_64C773A8.BIN	0100_64D4AD11.MER	0100_64D4AD11.MER
2023-08-20T12:20:06Z	0100_64E2014A.BIN	0100_64E2014A.BIN	0100_64EF3AD8.MER	0100_64EF3AD8.MER
2023-08-20T13:16:07Z	0100_64E2014A.BIN	0100_64E2014A.BIN	0100_64EF3AD8.MER	0100_64EF3AD8.MER
2023-09-09T15:49:54Z	0100_64FC8942.BIN	0100_64FC8942.BIN	0100_6509CC52.MER	0100_6509CC52.MER
2023-09-19T17:17:17Z	0100_6509CDA3.BIN	0100_6509CDA3.BIN	0100_651710D9.MER	0100_651710D9.MER
2023-09-19T17:34:06Z	0100_6509CDA3.BIN	0100_6509CDA3.BIN	0100_651710D9.MER	0100_651710D9.MER
2023-09-19T18:25:05Z	0100_6509CDA3.BIN	0100_6509CDA3.BIN	0100_651710D9.MER	0100_651710D9.MER
2023-10-09T21:19:31Z	0100_65246320.BIN	0100_65246320.BIN	0100_6531BD76.MER	0100_6531BD76.MER
2023-10-09T22:17:50Z	0100_65246320.BIN	0100_65246320.BIN	0100_6531BD76.MER	0100_6531BD76.MER
2023-10-10T00:01:37Z	0100_65246320.BIN	0100_65246320.BIN	0100_6531BD76.MER	0100_6531BD76.MER
2023-10-20T00:07:06Z	0100_6531BEE6.BIN	0100_6531BEE6.BIN	0100_653F3005.MER	0100_653F3005.MER
2023-11-09T10:15:18Z	0100_654C8BE4.BIN	0100_654C8BE4.BIN	0100_6559EC8B.MER	0100_6559EC8B.MER
2023-11-29T15:49:59Z	0100_656732B3.BIN	0100_656732B3.BIN	0100_657497E2.MER	0100_657497E2.MER
2023-11-29T16:58:56Z	0100_656732B3.BIN	0100_656732B3.BIN	0100_657497E2.MER	0100_657497E2.MER
2023-12-29T19:47:14Z	0100_658F1969.BIN	0100_658F1969.BIN	0100_659C532F.MER	0100_659C532F.MER
2024-01-08T21:59:01Z	0100_659C54A6.BIN	0100_659C54A6.BIN	0100_65A9A5CB.MER	0100_65A9A5CB.MER
2024-01-08T22:44:35Z	0100_659C54A6.BIN	0100_659C54A6.BIN	0100_65A9A5CB.MER	0100_65A9A5CB.MER
2024-01-18T23:21:48Z	0100_65A9A719.BIN	0100_65A9A719.BIN	0100_65A9A5CB.MER	0100_65B6D1B2.MER
2024-01-28T23:54:03Z	0100_65B6D2F4.BIN	0100_65B6D2F4.BIN	0100_65C406A2.MER	0100_65C406A2.MER
2024-02-08T00:59:05Z	0100_65C40857.BIN	0100_65C40857.BIN	0100_65D14C28.MER	0100_65D14C28.MER
2024-02-28T01:46:35Z	0100_65DE840A.BIN	0100_65DE840A.BIN	0100_65EBCFD7.MER	0100_65EBCFD7.MER
2024-02-28T02:46:40Z	0100_65DE840A.BIN	0100_65DE840A.BIN	0100_65EBCFD7.MER	0100_65EBCFD7.MER
2024-03-09T03:08:24Z	0100_65EBD13B.BIN	0100_65EBD13B.BIN	0100_65F91B3F.MER	0100_65F91B3F.MER
2024-03-09T05:39:41Z	0100_65EBD13B.BIN	0100_65EBD13B.BIN	0100_65F91B3F.MER	0100_65F91B3F.MER
2024-03-19T05:38:51Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-19T05:55:08Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-19T07:29:13Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-19T07:50:13Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-19T09:01:12Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-19T09:44:41Z	0100_65F91DB2.BIN	0100_65F91DB2.BIN	0100_66069B31.MER	0100_66069B31.MER
2024-03-29T12:26:43Z	0100_66069C99.BIN	0100_66069C99.BIN	0100_6613DB0C.MER	0100_6613DB0C.MER
2024-03-29T13:02:44Z	0100_66069C99.BIN	0100_66069C99.BIN	0100_6613DB0C.MER	0100_6613DB0C.MER
2024-04-08T13:35:03Z	0100_6613DC5D.BIN	0100_6613DC5D.BIN	0100_6621248C.MER	0100_6621248C.MER
2024-04-18T15:42:55Z	0100_662125EC.BIN	0100_662125EC.BIN	0100_662E9934.MER	0100_662E9934.MER
2024-04-28T20:56:31Z	0100_662E9A96.BIN	0100_662E9A96.BIN	0100_663BE28F.MER	0100_663BE28F.MER
2024-05-08T22:13:23Z	0100_663BE3F3.BIN	0100_663BE3F3.BIN	0100_66491078.MER	0100_66491078.MER
2024-05-08T22:29:20Z	0100_663BE3F3.BIN	0100_663BE3F3.BIN	0100_66491078.MER	0100_66491078.MER
2024-05-08T22:49:09Z	0100_663BE3F3.BIN	0100_663BE3F3.BIN	0100_66491078.MER	0100_66491078.MER
2024-05-18T21:14:42Z	0100_664911DB.BIN	0100_664911DB.BIN	0100_66564B8D.MER	0100_66564B8D.MER
2024-05-28T21:55:36Z	0100_66564CD9.BIN	0100_66564CD9.BIN	0100_66637617.MER	0100_66637617.MER
2024-05-28T22:51:48Z	0100_66564CD9.BIN	0100_66564CD9.BIN	0100_66637617.MER	0100_66637617.MER
2024-06-17T22:17:45Z	0100_6670965C.BIN	0100_6670965C.BIN	0100_667DC913.MER	0100_667DC913.MER
2024-07-07T22:04:40Z	0100_668AED81.BIN	0100_668AED81.BIN	0100_66981FAF.MER	0100_66981FAF.MER
2024-07-17T20:37:31Z	0100_66982147.BIN	0100_66982147.BIN	0100_66A55CF4.MER	0100_66A55CF4.MER
2024-07-17T22:39:22Z	0100_66982147.BIN	0100_66982147.BIN	0100_66A55CF4.MER	0100_66A55CF4.MER
2024-08-16T22:32:55Z	0100_66BFC1DC.BIN	0100_66BFC1DC.BIN	0100_66CCF19B.MER	0100_66CCF19B.MER
2024-09-05T22:34:09Z	0100_66DA1A2F.BIN	0100_66DA1A2F.BIN	0100_66E73F16.MER	0100_66E73F16.MER
2024-09-15T20:50:16Z	0100_66E74070.BIN	0100_66E74070.BIN	0100_66E73F16.MER	0100_66F47955.MER
2024-09-15T21:51:30Z	0100_66E74070.BIN	0100_66E74070.BIN	0100_66E73F16.MER	0100_66F47955.MER
