legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-09-22T07:19:35Z	0045_5D871B22.LOG	0045_5D871B22.LOG	0045_5D8F11AA.MER	0045_5D8F11AA.MER
2019-12-12T19:50:36Z	0045_5DF298B1.LOG	0045_5DF298B1.LOG	0045_5DF6219C.MER	0045_5DF6219C.MER
2019-12-15T12:45:12Z	0045_5DF62288.LOG	0045_5DF62288.LOG	0045_5E014A68.MER	0045_5E014A68.MER
2019-12-30T02:22:26Z	0045_5E095DC2.LOG	0045_5E095DC2.LOG	0045_5E0C794D.MER	0045_5E0C794D.MER
2020-02-06T00:21:18Z	0045_5E3B558C.LOG	0045_5E3B558C.LOG	0045_5E3E609C.MER	0045_5E3E609C.MER
2020-02-22T07:58:45Z	0045_5E50DD4F.LOG	0045_5E50DD4F.LOG	0045_5E543A3A.MER	0045_5E543A3A.MER
2020-03-27T08:18:39Z	0045_5E7DB57E.LOG	0045_5E7DB57E.LOG	0045_5E82589C.MER	0045_5E82589C.MER
2020-04-19T04:17:36Z	0045_5E9BCF31.LOG	0045_5E9BCF31.LOG	0045_5EA12451.MER	0045_5EA12451.MER
2020-05-26T12:12:30Z	0045_5ECD051D.LOG	0045_5ECD051D.LOG	0045_5ED3305E.MER	0045_5ED3305E.MER
2020-06-09T00:53:47Z	0045_5EDEDC3E.LOG	0045_5EDEDC3E.LOG	0045_5EE4BAE5.MER	0045_5EE4BAE5.MER
2020-07-15T02:22:22Z	0045_5F0E65DA.LOG	0045_5F0E65DA.LOG	0045_5F1162FC.MER	0045_5F1162FC.MER
2020-07-17T08:47:13Z	0045_5F1163F9.LOG	0045_5F1163F9.LOG	0045_5F1752AC.MER	0045_5F1752AC.MER
2020-07-24T03:36:56Z	0045_5F1A55A7.LOG	0045_5F1A55A7.LOG	0045_5F1F4826.MER	0045_5F1F4826.MER
2020-08-14T15:45:11Z	0045_5F36A843.LOG	0045_5F36A843.LOG	0045_5F41AFEE.MER	0045_5F41AFEE.MER
2020-09-03T23:17:50Z	0045_5F517369.LOG	0045_5F517369.LOG	0045_5F5724D6.MER	0045_5F5724D6.MER
2021-03-30T05:48:16Z	0045_6062B947.LOG	0045_6062B947.LOG	0045_6065EA52.MER	0045_6065EA52.MER
2021-04-01T16:29:40Z	0045_6065EB65.LOG	0045_6065EB65.LOG	0045_6069ABF0.MER	0045_6069ABF0.MER
2021-04-01T16:56:50Z	0045_6065EB65.LOG	0045_6065EB65.LOG	0045_6069ABF0.MER	0045_6069ABF0.MER
2021-04-07T16:19:12Z	0045_606DD27D.LOG	0045_606DD27D.LOG	0045_60720ED6.MER	0045_60720ED6.MER
2021-04-15T14:41:33Z	0045_6078478D.LOG	0045_6078478D.LOG	0045_607B5D42.MER	0045_607B5D42.MER
2021-08-16T17:20:19Z	0045_611A98DB.LOG	0045_611A98DB.LOG	0045_611E41D9.MER	0045_611E41D9.MER
