legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-05-26T13:34:46Z	17_5CEA9460.LOG	17_5CEA9460.LOG	17_5CF5B74D.MER	17_5CF5B74D.MER
2019-08-16T17:59:43Z	17_5D56E499.LOG	17_5D56E499.LOG	17_5D620ADE.MER	17_5D620ADE.MER
2019-11-08T13:15:30Z	17_5DC56324.LOG	17_5DC56324.LOG	17_5DD08926.MER	17_5DD08926.MER
2021-02-10T08:43:19Z	17_60239B49.LOG	17_60239B49.LOG	17_6026EF14.MER	17_6026EF14.MER
2021-02-21T14:25:13Z	17_60326B53.LOG	17_60326B53.LOG	17_603DE949.MER	17_603DE949.MER
2021-07-03T00:18:58Z	17_60DFAAF4.LOG	17_60DFAAF4.LOG	17_60EB2C28.MER	17_60EB2C28.MER
2022-02-24T06:03:01Z	17_62171DBA.LOG	17_62171DBA.LOG	17_62229EB2.MER	17_62229EB2.MER
2022-03-24T20:30:49Z	17_623CD00F.LOG	17_623CD00F.LOG	17_624858D2.MER	17_624858D2.MER
2022-05-11T03:15:37Z	17_627B28C3.LOG	17_627B28C3.LOG	17_628645D4.MER	17_628645D4.MER
2023-01-15T16:10:42Z	17_63C423C5.LOG	17_63C423C5.LOG	17_63CB4A02.MER	17_63CB4A02.MER
2023-07-01T22:27:42Z	17_64A0A11E.LOG	17_64A0A11E.LOG	17_64AC2C20.MER	17_64AC2C20.MER
2024-03-27T08:39:43Z	17_6603D9BD.LOG	17_6603D9BD.LOG	17_66088E83.MER	17_66088E83.MER
2025-09-22T16:27:57Z	17_68C5F3CD.LOG	<none>	17_68D174EA.MER	<none>
