legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-10-14T02:18:02Z	0046_5DA3D58D.LOG	0046_5DA3D58D.LOG	0046_5DA7536E.MER	0046_5DA7536E.MER
2020-01-27T11:26:21Z	0046_5E2EBF40.LOG	0046_5E2EBF40.LOG	0046_5E31E0C8.MER	0046_5E31E0C8.MER
2020-05-23T06:27:19Z	0046_5EC8C0C4.LOG	0046_5EC8C0C4.LOG	0046_5ECC420E.MER	0046_5ECC420E.MER
2020-06-21T17:59:59Z	0046_5EEF9E80.LOG	0046_5EEF9E80.LOG	0046_5EF2C360.MER	0046_5EF2C360.MER
2020-08-01T07:38:24Z	0046_5F251787.LOG	0046_5F251787.LOG	0046_5F2828A4.MER	0046_5F2828A4.MER
2020-08-03T15:30:47Z	0046_5F2829BE.LOG	0046_5F2829BE.LOG	0046_5F2B98EA.MER	0046_5F2B98EA.MER
2020-09-04T16:35:23Z	0046_5F526A32.LOG	0046_5F526A32.LOG	0046_5F5584C3.MER	0046_5F5584C3.MER
2021-04-19T02:40:44Z	0046_607CEB1D.LOG	0046_607CEB1D.LOG	0046_60803970.MER	0046_60803970.MER
2021-06-21T03:24:04Z	0046_60D004C2.LOG	0046_60D004C2.LOG	0046_60D3741E.MER	0046_60D3741E.MER
2021-08-06T00:41:45Z	0046_610C807C.LOG	0046_610C807C.LOG	0046_61145CB8.MER	0046_61145CB8.MER
2021-08-20T02:32:01Z	0046_611F125C.LOG	0046_611F125C.LOG	0046_61286C66.MER	0046_61286C66.MER
2021-10-12T12:03:01Z	0046_6165778F.LOG	0046_6165778F.LOG	0046_61693A3A.MER	0046_61693A3A.MER
2021-11-03T09:22:58Z	0046_61825388.LOG	0046_61825388.LOG	0046_6186CBD2.MER	0046_6186CBD2.MER
2021-11-18T17:10:18Z	0046_6196876D.LOG	0046_6196876D.LOG	0046_619989F6.MER	0046_619989F6.MER
2021-12-18T01:41:41Z	0046_61BD3ACB.LOG	0046_61BD3ACB.LOG	0046_61BD3A3A.MER	0046_61C30EB2.MER
2024-09-06T23:20:32Z	0046_66DB8C20.LOG	0046_66DB8C20.LOG	0046_66DB8BDA.MER	0046_66DF07A0.MER
2024-12-30T20:48:37Z	0046_6773058D.LOG	0046_6773058D.LOG	0046_67730550.MER	0046_677E2B82.MER
2025-02-06T00:40:52Z	0046_6798D63D.LOG	<none>	0046_67A401C8.MER	<none>
