legacy_timestamp	log_before	log_after	mer_before	mer_after
2022-09-25T23:52:12Z	0007_6330E82F.BIN	0007_6330E82F.BIN	0007_633B3E06.MER	0007_633B3E06.MER
2023-07-05T03:14:18Z	0007_64A4DDF1.BIN	0007_64A4DDF1.BIN	0007_64AF3316.MER	0007_64AF3316.MER
2023-07-20T20:10:52Z	0007_64B98C01.BIN	0007_64B98C01.BIN	0007_64C3EA86.MER	0007_64C3EA86.MER
2025-10-25T10:21:44Z	0007_68FCA0CC.BIN	0007_68FCA0CC.BIN	0007_6906A144.MER	0007_6906A144.MER
2025-12-02T07:28:05Z	0007_692E93AA.BIN	0007_692E93AA.BIN	0007_69389094.MER	0007_69389094.MER
2026-01-09T04:39:44Z	0007_69608463.BIN	0007_69608463.BIN	0007_696A82AA.MER	0007_696A82AA.MER
2026-04-02T12:31:07Z	0007_69CE5F5C.BIN	0007_69CE5F5C.BIN	0007_69D85DFC.MER	0007_69D85DFC.MER
2026-06-02T06:35:39Z	0007_6A1E6B03.BIN	0007_6A1E6B03.BIN	0007_6A2874C2.MER	0007_6A2874C2.MER
2026-06-09T20:36:29Z	0007_6A28751F.BIN	0007_6A28751F.BIN	0007_6A32753C.MER	0007_6A32753C.MER
2026-06-17T10:30:03Z	0007_6A28751F.BIN	<none>	0007_6A32753C.MER	<none>
2026-06-17T10:40:52Z	0007_6A28751F.BIN	<none>	0007_6A32753C.MER	<none>
2026-06-25T00:26:29Z	0007_6A28751F.BIN	<none>	0007_6A32753C.MER	<none>
2026-06-25T00:41:52Z	0007_6A28751F.BIN	<none>	0007_6A32753C.MER	<none>
