legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-05-10T12:25:56Z	0072_6099245C.BIN	0072_6099245C.BIN	0072_609E0DD8.MER	0072_609E0DD8.MER
2021-07-29T12:10:58Z	0072_6102985A.BIN	0072_6102985A.BIN	0072_610D6AA2.MER	0072_610D6AA2.MER
2021-10-21T14:03:16Z	0072_61717091.BIN	0072_61717091.BIN	0072_617539B2.MER	0072_617539B2.MER
2022-03-05T18:04:46Z	0072_6223A336.BIN	0072_6223A336.BIN	0072_622E851A.MER	0072_622E851A.MER
2023-02-13T15:22:52Z	0072_63EA50F0.BIN	0072_63EA50F0.BIN	0072_63F577BB.MER	0072_63F577BB.MER
2023-04-14T15:41:48Z	0072_6439720A.BIN	0072_6439720A.BIN	0072_643D76FE.MER	0072_643D76FE.MER
2023-08-24T02:21:31Z	0072_64E6BC88.BIN	0072_64E6BC88.BIN	0072_64ED4958.MER	0072_64ED4958.MER
2023-08-29T01:33:36Z	0072_64ED4998.BIN	0072_64ED4998.BIN	0072_64F2BA78.MER	0072_64F2BA78.MER
2024-01-09T04:47:03Z	0072_659CC405.BIN	0072_659CC405.BIN	0072_659E27D1.MER	0072_659E27D1.MER
2024-01-31T18:11:30Z	0072_65BA8B2C.BIN	0072_65BA8B2C.BIN	0072_65BFFC3E.MER	0072_65BFFC3E.MER
2024-03-22T17:46:19Z	0072_65FDC191.BIN	0072_65FDC191.BIN	0072_66012B52.MER	0072_66012B52.MER
2024-04-05T19:53:33Z	0072_661053B1.BIN	0072_661053B1.BIN	0072_66146E14.MER	0072_66146E14.MER
2024-04-16T07:04:44Z	0072_661E2195.BIN	0072_661E2195.BIN	0072_6626B3AB.MER	0072_6626B3AB.MER
2024-04-22T20:24:12Z	0072_6626B454.BIN	0072_6626B454.BIN	0072_662D37F4.MER	0072_662D37F4.MER
2024-05-03T00:04:41Z	0072_66341AD1.BIN	0072_66341AD1.BIN	0072_66384A12.MER	0072_66384A12.MER
2024-07-09T00:47:26Z	0072_668B9B92.BIN	<none>	0072_668C873A.MER	<none>
