legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-09-01T22:01:22Z	0042_5D6C3DE1.LOG	0042_5D6C3DE1.LOG	0042_5D776558.MER	0042_5D776558.MER
2019-10-04T20:11:49Z	0042_5D97A60B.LOG	0042_5D97A60B.LOG	0042_5DA2CD20.MER	0042_5DA2CD20.MER
2020-09-09T06:47:15Z	0042_5F5876BC.LOG	0042_5F5876BC.LOG	0042_5F5B816C.MER	0042_5F5B816C.MER
2021-03-25T18:31:56Z	0042_605CD57C.LOG	0042_605CD57C.LOG	0042_6060128A.MER	0042_6060128A.MER
2021-04-05T00:08:12Z	0042_606A4C9B.LOG	0042_606A4C9B.LOG	0042_606DD3F1.MER	0042_606DD3F1.MER
2021-04-07T16:12:00Z	0042_606DD525.LOG	0042_606DD525.LOG	0042_6071A28E.MER	0042_6071A28E.MER
2021-06-24T15:43:41Z	0042_60D4A1AE.LOG	0042_60D4A1AE.LOG	0042_60D804BE.MER	0042_60D804BE.MER
2021-08-14T14:35:39Z	0042_6117CD66.LOG	0042_6117CD66.LOG	0042_611C4BB2.MER	0042_611C4BB2.MER
2021-10-25T09:49:02Z	0042_61767C28.LOG	0042_61767C28.LOG	0042_617B7A86.MER	0042_617B7A86.MER
2022-01-16T17:53:54Z	0042_61E459D8.LOG	0042_61E459D8.LOG	0042_61E79D24.MER	0042_61E79D24.MER
2022-03-20T13:23:15Z	0042_62372576.LOG	0042_62372576.LOG	0042_623CA2D0.MER	0042_623CA2D0.MER
2022-05-14T18:28:59Z	0042_627FF31E.LOG	0042_627FF31E.LOG	0042_62846DEA.MER	0042_62846DEA.MER
2022-07-30T04:53:32Z	0042_62E4B220.LOG	0042_62E4B220.LOG	0042_62ECF3EA.MER	0042_62ECF3EA.MER
2022-10-06T11:21:51Z	0042_633EB86E.LOG	0042_633EB86E.LOG	0042_6349DE0E.MER	0042_6349DE0E.MER
2023-02-16T12:59:07Z	0042_63EE232F.LOG	0042_63EE232F.LOG	0042_63F340DB.MER	0042_63F340DB.MER
2023-04-03T00:17:25Z	0042_642A193E.LOG	0042_642A193E.LOG	0042_642D1A66.MER	0042_642D1A66.MER
2023-04-05T07:03:05Z	0042_642D1B98.LOG	0042_642D1B98.LOG	0042_642D1A66.MER	0042_6433CDF0.MER
2023-07-16T02:59:08Z	0042_64B35B1D.LOG	0042_64B35B1D.LOG	0042_64B78870.MER	0042_64B78870.MER
2023-07-19T07:04:27Z	0042_64B78988.LOG	0042_64B78988.LOG	0042_64C16BE2.MER	0042_64C16BE2.MER
2023-08-25T02:14:47Z	0042_64E80C8D.LOG	0042_64E80C8D.LOG	0042_64EC5598.MER	0042_64EC5598.MER
2023-10-30T11:03:14Z	0042_653F8BEA.LOG	0042_653F8BEA.LOG	0042_6543709E.MER	0042_6543709E.MER
2023-11-17T14:43:02Z	0042_65577A16.LOG	0042_65577A16.LOG	0042_655D214C.MER	0042_655D214C.MER
2024-03-10T03:24:43Z	0042_65ED266B.LOG	0042_65ED266B.LOG	0042_65F21CAC.MER	0042_65F21CAC.MER
2024-03-22T09:06:10Z	0042_65ED266B.LOG	<none>	0042_65FD48C0.MER	<none>
2024-03-22T09:13:59Z	0042_65ED266B.LOG	<none>	0042_65FD48C0.MER	<none>
