legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-11-20T14:21:41Z	0028_5DD54A41.LOG	0028_5DD54A41.LOG	0028_5DDCE5C4.MER	0028_5DDCE5C4.MER
2019-12-28T09:25:43Z	0028_5E071DE8.LOG	0028_5E071DE8.LOG	0028_5E123F02.MER	0028_5E123F02.MER
2020-05-28T13:08:36Z	0028_5ECFB4BB.LOG	0028_5ECFB4BB.LOG	0028_5ED7A554.MER	0028_5ED7A554.MER
2020-11-07T15:14:35Z	0028_5FA6B87E.LOG	0028_5FA6B87E.LOG	0028_5FAB80C1.MER	0028_5FAB80C1.MER
2020-12-10T17:26:17Z	0028_5FD25896.LOG	0028_5FD25896.LOG	0028_5FD7157A.MER	0028_5FD7157A.MER
2021-04-01T16:48:59Z	0028_6065EBB2.LOG	0028_6065EBB2.LOG	0028_606CA482.MER	0028_606CA482.MER
2021-12-25T18:25:46Z	0028_61C760AD.LOG	0028_61C760AD.LOG	0028_61CCF902.MER	0028_61CCF902.MER
2022-06-21T01:27:41Z	0028_62B11D06.LOG	0028_62B11D06.LOG	0028_62BC3E1E.MER	0028_62BC3E1E.MER
2023-07-02T16:17:28Z	0028_64A1A193.LOG	0028_64A1A193.LOG	0028_64ACC4E4.MER	0028_64ACC4E4.MER
2023-07-16T12:34:36Z	0028_64B3E24B.LOG	0028_64B3E24B.LOG	0028_64B77D78.MER	0028_64B77D78.MER
2025-08-12T10:46:15Z	0028_688FF3C9.LOG	<none>	0028_689B1B00.MER	<none>
2025-08-12T10:56:27Z	0028_688FF3C9.LOG	<none>	0028_689B1B00.MER	<none>
