legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-11-02T02:28:47Z	0041_5DBCE3FA.LOG	0041_5DBCE3FA.LOG	0041_5DC0F9F3.MER	0041_5DC0F9F3.MER
2019-11-12T04:56:59Z	0041_5DCA39DE.LOG	0041_5DCA39DE.LOG	0041_5DCDD06A.MER	0041_5DCDD06A.MER
2020-01-22T11:17:41Z	0041_5E282DF5.LOG	0041_5E282DF5.LOG	0041_5E33510A.MER	0041_5E33510A.MER
2020-04-04T15:17:46Z	0041_5E88A2EE.LOG	0041_5E88A2EE.LOG	0041_5E8BBF0E.MER	0041_5E8BBF0E.MER
2020-08-10T16:44:26Z	0041_5F317717.LOG	0041_5F317717.LOG	0041_5F361DBB.MER	0041_5F361DBB.MER
2020-09-03T17:00:19Z	0041_5F511DDE.LOG	0041_5F511DDE.LOG	0041_5F5C479E.MER	0041_5F5C479E.MER
2020-11-11T06:30:11Z	0041_5FAB836D.LOG	0041_5FAB836D.LOG	0041_5FB14D0E.MER	0041_5FB14D0E.MER
2021-04-07T16:10:14Z	0041_606DD13D.LOG	0041_606DD13D.LOG	0041_6071C55C.MER	0041_6071C55C.MER
2021-05-18T16:08:37Z	0041_60A3D653.LOG	0041_60A3D653.LOG	0041_60A71EDC.MER	0041_60A71EDC.MER
2021-06-16T10:49:25Z	0041_60C9D322.LOG	0041_60C9D322.LOG	0041_60D4FD8C.MER	0041_60D4FD8C.MER
2021-08-16T22:53:14Z	0041_611AE9A8.LOG	0041_611AE9A8.LOG	0041_611E3754.MER	0041_611E3754.MER
2021-08-30T08:11:40Z	0041_612C9157.LOG	0041_612C9157.LOG	0041_6137B31A.MER	0041_6137B31A.MER
2021-09-17T01:26:50Z	0041_6143E72E.LOG	0041_6143E72E.LOG	0041_61491F24.MER	0041_61491F24.MER
2021-10-02T10:06:48Z	0041_61582D5A.LOG	0041_61582D5A.LOG	0041_615F42CF.MER	0041_615F42CF.MER
2021-10-21T14:05:33Z	0041_61717204.LOG	0041_61717204.LOG	0041_61753E33.MER	0041_61753E33.MER
2021-11-05T14:52:59Z	0041_618543B1.LOG	0041_618543B1.LOG	0041_618B7612.MER	0041_618B7612.MER
2022-04-22T12:30:54Z	0041_6262974A.LOG	0041_6262974A.LOG	0041_6266F5CE.MER	0041_6266F5CE.MER
2022-05-08T02:31:39Z	0041_62772A2C.LOG	0041_62772A2C.LOG	0041_627B4422.MER	0041_627B4422.MER
2022-05-18T13:58:58Z	0041_6284F273.LOG	0041_6284F273.LOG	0041_628A33A0.MER	0041_628A33A0.MER
2022-06-21T16:25:44Z	0041_62B1EFB1.LOG	0041_62B1EFB1.LOG	0041_62BD1294.MER	0041_62BD1294.MER
2022-09-11T05:53:06Z	0041_631D75EF.LOG	0041_631D75EF.LOG	0041_6322060E.MER	0041_6322060E.MER
2022-09-14T17:12:06Z	0041_63220866.LOG	0041_63220866.LOG	0041_632D340A.MER	0041_632D340A.MER
2022-11-06T09:12:43Z	0041_63677827.LOG	0041_63677827.LOG	0041_636BC44B.MER	0041_636BC44B.MER
2022-12-30T15:42:54Z	0041_63AF0308.LOG	0041_63AF0308.LOG	0041_63B8597E.MER	0041_63B8597E.MER
2023-04-03T00:07:13Z	0041_642A172A.LOG	0041_642A172A.LOG	0041_642FD4D6.MER	0041_642FD4D6.MER
2023-10-29T04:20:36Z	0041_653DDBA4.LOG	0041_653DDBA4.LOG	0041_654132C0.MER	0041_654132C0.MER
2024-05-23T01:44:22Z	0041_664370BA.LOG	<none>	0041_664E9CA2.MER	<none>
