legacy_timestamp	log_before	log_after	mer_before	mer_after
2023-07-21T11:43:14Z	0101_64BA60CC.BIN	0101_64BA60CC.BIN	0101_64C78F57.MER	0101_64C78F57.MER
2023-08-10T11:40:02Z	0101_64D4C8F0.BIN	0101_64D4C8F0.BIN	0101_64E1FF20.MER	0101_64E1FF20.MER
2023-08-10T11:55:16Z	0101_64D4C8F0.BIN	0101_64D4C8F0.BIN	0101_64E1FF20.MER	0101_64E1FF20.MER
2023-08-20T12:32:51Z	0101_64E1FFF2.BIN	0101_64E1FFF2.BIN	0101_64EF44C9.MER	0101_64EF44C9.MER
2023-08-20T13:49:09Z	0101_64E1FFF2.BIN	0101_64E1FFF2.BIN	0101_64EF44C9.MER	0101_64EF44C9.MER
2023-08-20T14:46:23Z	0101_64E1FFF2.BIN	0101_64E1FFF2.BIN	0101_64EF44C9.MER	0101_64EF44C9.MER
2023-08-30T14:02:02Z	0101_64EF458C.BIN	0101_64EF458C.BIN	0101_64FC727C.MER	0101_64FC727C.MER
2023-08-30T14:17:03Z	0101_64EF458C.BIN	0101_64EF458C.BIN	0101_64FC727C.MER	0101_64FC727C.MER
2023-09-09T13:33:30Z	0101_64FC72C9.BIN	0101_64FC72C9.BIN	0101_6509B500.MER	0101_6509B500.MER
2023-09-19T15:41:09Z	0101_6509B54D.BIN	0101_6509B54D.BIN	0101_6516F63E.MER	0101_6516F63E.MER
2023-09-19T16:55:23Z	0101_6509B54D.BIN	0101_6509B54D.BIN	0101_6516F63E.MER	0101_6516F63E.MER
2023-09-29T17:11:35Z	0101_6516F791.BIN	0101_6516F791.BIN	0101_652445A3.MER	0101_652445A3.MER
2023-10-09T19:16:38Z	0101_65244656.BIN	0101_65244656.BIN	0101_65317BEA.MER	0101_65317BEA.MER
2023-10-29T18:23:26Z	0101_653EA0F2.BIN	0101_653EA0F2.BIN	0101_654BEDB4.MER	0101_654BEDB4.MER
2023-10-29T18:39:59Z	0101_653EA0F2.BIN	0101_653EA0F2.BIN	0101_654BEDB4.MER	0101_654BEDB4.MER
2023-10-29T21:27:52Z	0101_653EA0F2.BIN	0101_653EA0F2.BIN	0101_654BEDB4.MER	0101_654BEDB4.MER
