legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-09-10T09:27:55Z	0050_5D6C3B5E.LOG	0050_5D7767BF.LOG	0050_5D77677D.MER	0050_5D82907C.MER
2019-09-10T09:44:41Z	0050_5D6C3B5E.LOG	0050_5D7767BF.LOG	0050_5D77677D.MER	0050_5D82907C.MER
2019-09-18T20:35:04Z	0050_5D7767BF.LOG	0050_5D8290B3.LOG	0050_5D8DBD8C.MER	0050_5D8DBD8C.MER
2019-10-14T06:42:59Z	0050_5D98E640.LOG	0050_5DA41443.LOG	0050_5DAF4268.MER	0050_5DAF4268.MER
2019-11-17T04:51:45Z	0050_5DC5976E.LOG	0050_5DD0CD92.LOG	0050_5DDBFB9A.MER	0050_5DDBFB9A.MER
2019-11-25T16:28:50Z	0050_5DD0CD92.LOG	0050_5DDBFCDB.LOG	0050_5DE72B38.MER	0050_5DE72B38.MER
2019-12-04T04:06:44Z	0050_5DDBFCDB.LOG	0050_5DE72C7F.LOG	0050_5DF25AF6.MER	0050_5DF25AF6.MER
2019-12-12T15:44:00Z	0050_5DE72C7F.LOG	0050_5DF25BDD.LOG	0050_5DFD078A.MER	0050_5DFD078A.MER
2020-01-23T11:57:50Z	0050_5E1E8A05.LOG	0050_5E2985B7.LOG	0050_5E34B0EB.MER	0050_5E34B0EB.MER
2020-01-31T23:21:10Z	0050_5E2985B7.LOG	0050_5E34B1FF.LOG	0050_5E3FE048.MER	0050_5E3FE048.MER
2020-02-09T10:49:28Z	0050_5E34B1FF.LOG	0050_5E3FE156.LOG	0050_5E45768E.MER	0050_5E45768E.MER
2020-02-09T11:06:17Z	0050_5E34B1FF.LOG	0050_5E3FE156.LOG	0050_5E45768E.MER	0050_5E45768E.MER
2020-02-22T04:25:08Z	0050_5E457759.LOG	0050_5E50A87D.LOG	0050_5E5BD88E.MER	0050_5E5BD88E.MER
2020-03-10T03:57:28Z	0050_5E5BD9C2.LOG	0050_5E670BD3.LOG	0050_5E6CFA36.MER	0050_5E6CFA36.MER
2020-03-14T16:00:35Z	0050_5E670BD3.LOG	0050_5E6CFB48.LOG	0050_5E714C60.MER	0050_5E714C60.MER
2020-03-25T09:09:07Z	0050_5E714D86.LOG	0050_5E7B1B4D.LOG	0050_5E86476E.MER	0050_5E86476E.MER
2020-04-02T20:33:54Z	0050_5E7B1B4D.LOG	0050_5E8647D6.LOG	0050_5E916FB1.MER	0050_5E916FB1.MER
2020-04-19T19:00:12Z	0050_5E9170E2.LOG	0050_5E9C9B5F.LOG	0050_5EA7C6EA.MER	0050_5EA7C6EA.MER
2020-05-13T04:45:51Z	0050_5EB2ED41.LOG	0050_5EBB771C.LOG	0050_5EC6A3E8.MER	0050_5EC6A3E8.MER
2020-06-27T05:56:09Z	0050_5EEBB2F7.LOG	0050_5EF6DB20.LOG	0050_5F020632.MER	0050_5F020632.MER
2020-07-05T17:19:38Z	0050_5EF6DB20.LOG	0050_5F020755.LOG	0050_5F0D34F8.MER	0050_5F0D34F8.MER
2020-08-17T02:03:14Z	0050_5F2EB475.LOG	0050_5F39E108.LOG	0050_5F450FF4.MER	0050_5F450FF4.MER
2020-09-11T12:14:12Z	0050_5F503BBA.LOG	0050_5F5B65D2.LOG	0050_5F668DA0.MER	0050_5F668DA0.MER
2020-10-06T16:06:23Z	0050_5F71B5C6.LOG	0050_5F7C91A7.LOG	0050_5F87BB06.MER	0050_5F87BB06.MER
2020-11-09T11:23:07Z	0050_5F9DF7D0.LOG	0050_5FA921AA.LOG	0050_5FB44D36.MER	0050_5FB44D36.MER
2020-11-26T09:49:06Z	0050_5FB44D44.LOG	0050_5FBF74E6.LOG	0050_5FC489DC.MER	0050_5FC489DC.MER
2020-12-17T05:13:13Z	0050_5FCFBA88.LOG	0050_5FDAE49A.LOG	0050_5FE6137C.MER	0050_5FE6137C.MER
2021-01-08T11:07:38Z	0050_5FF145F6.LOG	0050_5FF83895.LOG	0050_60036768.MER	0050_60036768.MER
2021-01-25T10:19:45Z	0050_600367A5.LOG	0050_600E96D2.LOG	0050_6019C56C.MER	0050_6019C56C.MER
2021-02-22T07:44:49Z	0050_602831C1.LOG	0050_60335C95.LOG	0050_60389867.MER	0050_60389867.MER
2021-03-17T00:35:55Z	0050_604B061E.LOG	0050_60514A94.LOG	0050_60560B14.MER	0050_60560B14.MER
2021-03-17T00:52:33Z	0050_604B061E.LOG	0050_60514A94.LOG	0050_60560B14.MER	0050_60560B14.MER
2021-03-20T15:10:34Z	0050_60514A94.LOG	0050_60560C15.LOG	0050_60613A16.MER	0050_60613A16.MER
2021-04-01T21:03:00Z	0050_60613A24.LOG	0050_606630A7.LOG	0050_60715CCE.MER	0050_60715CCE.MER
2021-05-09T18:56:20Z	0050_608D0021.LOG	0050_60982C0A.LOG	0050_60A35680.MER	0050_60A35680.MER
2021-06-17T12:06:59Z	0050_60C0056C.LOG	0050_60CB35B6.LOG	0050_60D2F282.MER	0050_60D2F282.MER
2021-07-10T07:06:34Z	0050_60DE18BA.LOG	0050_60E942B4.LOG	0050_60F46DD5.MER	0050_60F46DD5.MER
2021-07-18T18:26:01Z	0050_60E942B4.LOG	0050_60F46DE3.LOG	0050_60FE1750.MER	0050_60FE1750.MER
2021-07-26T02:20:13Z	0050_60F46DE3.LOG	<none>	0050_60FE1750.MER	<none>
2021-07-26T02:25:58Z	0050_60F46DE3.LOG	<none>	0050_60FE1750.MER	<none>
2021-07-26T02:42:48Z	0050_60F46DE3.LOG	<none>	0050_60FE1750.MER	<none>
