legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-05-10T23:10:04Z	0061_5F043F44.BIN	0061_6099E1D8.BIN	0061_6099BC54.MER	0061_6099E1CC.MER
2021-07-02T07:59:18Z	0061_60DEBE77.BIN	0061_60DEBE77.BIN	0061_60E5EE82.MER	0061_60E5EE82.MER
2021-07-13T05:36:27Z	0061_60ED24B0.BIN	0061_60ED24B0.BIN	0061_60F52014.MER	0061_60F52014.MER
2021-09-24T12:46:26Z	0061_614DC674.BIN	0061_614DC674.BIN	0061_615307B0.MER	0061_615307B0.MER
2021-10-08T01:05:59Z	0061_615F8BAD.BIN	0061_615F8BAD.BIN	0061_6160D8B5.MER	0061_6160D8B5.MER
2021-10-18T13:31:54Z	0061_616D741F.BIN	0061_616D741F.BIN	0061_617173F2.MER	0061_617173F2.MER
2021-12-05T06:10:42Z	0061_61AC4FD6.BIN	0061_61AC4FD6.BIN	0061_61B77C8E.MER	0061_61B77C8E.MER
2021-12-13T17:08:40Z	0061_61B77C9C.BIN	0061_61B77C9C.BIN	0061_61BB6F39.MER	0061_61BB6F39.MER
2021-12-30T00:39:34Z	0061_61CCFD9F.BIN	0061_61CCFD9F.BIN	0061_61D50698.MER	0061_61D50698.MER
2022-03-14T00:42:24Z	0061_622E8B3E.BIN	0061_622E8B3E.BIN	0061_62319FDF.MER	0061_62319FDF.MER
2022-05-09T03:45:57Z	0061_62788D12.BIN	0061_62788D12.BIN	0061_627C1488.MER	0061_627C1488.MER
2022-07-01T00:54:32Z	0061_62BE4090.BIN	0061_62BE4090.BIN	0061_62C91174.MER	0061_62C91174.MER
2022-08-18T14:11:37Z	0061_62FE41BC.BIN	0061_62FE41BC.BIN	0061_6301DD76.MER	0061_6301DD76.MER
2022-08-21T08:00:48Z	0061_6301DE8B.BIN	0061_6301DE8B.BIN	0061_630534A2.MER	0061_630534A2.MER
2022-11-09T02:33:27Z	0061_636B0E48.BIN	0061_636B0E48.BIN	0061_636E7D26.MER	0061_636E7D26.MER
2023-04-25T02:24:51Z	0061_64473422.BIN	0061_64473422.BIN	0061_644B8E0A.MER	0061_644B8E0A.MER
2023-10-28T19:19:38Z	0061_653D5A1A.BIN	0061_653D5A1A.BIN	0061_65413590.MER	0061_65413590.MER
2023-12-02T18:23:48Z	0061_656B741B.BIN	0061_656B741B.BIN	0061_6572138A.MER	0061_6572138A.MER
2024-02-12T17:25:34Z	0061_65CA5264.BIN	0061_65CA5264.BIN	0061_65D57C5A.MER	0061_65D57C5A.MER
2024-03-07T03:06:30Z	0061_65E926CA.BIN	0061_65E926CA.BIN	0061_65F248BC.MER	0061_65F248BC.MER
2025-02-22T07:56:22Z	0061_67B979C5.BIN	0061_67B979C5.BIN	0061_67BE9CD6.MER	0061_67BE9CD6.MER
2025-04-08T21:43:10Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_67F5A15B.MER	0061_67F5A15B.MER
2025-04-08T22:11:14Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_67F5A15B.MER	0061_67F5A15B.MER
2025-05-12T13:50:34Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68220BA9.MER	0061_68220BA9.MER
2025-05-12T16:17:44Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68222BC4.MER	0061_68222BC4.MER
2025-05-12T17:25:25Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822405C.MER	0061_6822405C.MER
2025-05-12T17:27:46Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822405C.MER	0061_6822405C.MER
2025-05-12T17:37:27Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822405C.MER	0061_6822405C.MER
2025-05-12T18:57:12Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822511A.MER	0061_6822511A.MER
2025-05-12T20:00:21Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68226537.MER	0061_68226537.MER
2025-05-12T20:16:55Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68226537.MER	0061_68226537.MER
2025-05-12T21:41:28Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68227931.MER	0061_68227931.MER
2025-05-12T21:58:13Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68227931.MER	0061_68227931.MER
2025-05-13T00:24:38Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_68229EBB.MER	0061_68229EBB.MER
2025-05-13T03:50:15Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822D0B8.MER	0061_6822D0B8.MER
2025-05-13T06:42:24Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822F881.MER	0061_6822F881.MER
2025-05-13T06:59:06Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6822F881.MER	0061_6822F881.MER
2025-05-13T08:16:47Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6823BB4E.MER	0061_6823BB4E.MER
2025-05-13T08:26:17Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6823BB4E.MER	0061_6823BB4E.MER
2025-05-13T08:33:55Z	0061_67EDF9B9.BIN	0061_6823BB5C.BIN	0061_6823BB4E.MER	0061_6823BB4E.MER
2025-05-13T22:18:35Z	0061_6823BB5C.BIN	0061_6823BB5C.BIN	0061_6824833E.MER	0061_6824833E.MER
2025-06-08T12:12:51Z	0061_6843C13A.BIN	<none>	0061_68457B70.MER	<none>
