legacy_timestamp	log_before	log_after	mer_before	mer_after
2026-04-29T19:35:15Z	0096_69F25B50.BIN	0096_69F25B50.BIN	0096_6A0079CC.MER	0096_6A0079CC.MER
2026-05-31T22:46:23Z	0096_6A1CB5A3.BIN	0096_6A1CB5A3.BIN	0096_6A2AE0C2.MER	0096_6A2AE0C2.MER
2026-06-11T16:30:38Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
2026-06-11T16:45:13Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
2026-06-22T09:37:11Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
2026-06-22T09:42:38Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
2026-06-22T09:48:15Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
2026-06-22T09:58:57Z	0096_6A1CB5A3.BIN	<none>	0096_6A2AE0C2.MER	<none>
