legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-09-26T00:42:10Z	0039_5D8C07BB.LOG	0039_5D8C07BB.LOG	0039_5D906324.MER	0039_5D906324.MER
2019-09-29T08:04:38Z	0039_5D9063C8.LOG	0039_5D9063C8.LOG	0039_5D972D4A.MER	0039_5D972D4A.MER
2019-11-05T10:25:08Z	0039_5DC14BCD.LOG	0039_5DC14BCD.LOG	0039_5DC5455E.MER	0039_5DC5455E.MER
2020-04-07T14:48:14Z	0039_5E8C905E.LOG	0039_5E8C905E.LOG	0039_5E937316.MER	0039_5E937316.MER
2020-04-27T13:33:23Z	0039_5EA6DD75.LOG	0039_5EA6DD75.LOG	0039_5EB200A0.MER	0039_5EB200A0.MER
2020-09-12T08:17:40Z	0039_5F5C826D.LOG	0039_5F5C826D.LOG	0039_5F67A3C8.MER	0039_5F67A3C8.MER
2020-09-29T05:28:00Z	0039_5F72C486.LOG	0039_5F72C486.LOG	0039_5F7C9149.MER	0039_5F7C9149.MER
2020-10-21T06:19:42Z	0039_5F8FCF2E.LOG	0039_5F8FCF2E.LOG	0039_5F92CF6E.MER	0039_5F92CF6E.MER
2021-01-28T13:13:09Z	0039_6012B13F.LOG	0039_6012B13F.LOG	0039_601A3C6A.MER	0039_601A3C6A.MER
2021-06-20T21:21:08Z	0039_60CFAFB6.LOG	0039_60CFAFB6.LOG	0039_60D6A652.MER	0039_60D6A652.MER
2021-09-05T16:33:08Z	0039_6134EFA9.LOG	0039_6134EFA9.LOG	0039_61393450.MER	0039_61393450.MER
2021-10-06T01:18:54Z	0039_615CF7F5.LOG	0039_615CF7F5.LOG	0039_61602606.MER	0039_61602606.MER
2021-10-06T01:50:05Z	0039_615CF7F5.LOG	0039_615CF7F5.LOG	0039_61602606.MER	0039_61602606.MER
2021-10-21T14:21:27Z	0039_617170F0.LOG	0039_617170F0.LOG	0039_61769D9C.MER	0039_61769D9C.MER
2021-11-04T15:47:06Z	0039_6183FE08.LOG	0039_6183FE08.LOG	0039_61870D42.MER	0039_61870D42.MER
2021-12-12T15:29:26Z	0039_61B60F17.LOG	0039_61B60F17.LOG	0039_61B92B9E.MER	0039_61B92B9E.MER
2022-09-23T01:03:03Z	0039_632D0052.LOG	0039_632D0052.LOG	0039_63306168.MER	0039_63306168.MER
2022-10-12T15:18:17Z	0039_6346D935.LOG	0039_6346D935.LOG	0039_6349EFDE.MER	0039_6349EFDE.MER
2022-10-27T02:08:19Z	0039_6359E59E.LOG	0039_6359E59E.LOG	0039_635D423C.MER	0039_635D423C.MER
2022-11-10T09:36:16Z	0039_636CC35A.LOG	0039_636CC35A.LOG	0039_636FD7D9.MER	0039_636FD7D9.MER
2022-12-27T20:40:56Z	0039_63AB524A.LOG	0039_63AB524A.LOG	0039_63AF040A.MER	0039_63AF040A.MER
2022-12-30T15:41:22Z	0039_63AF0517.LOG	0039_63AF0517.LOG	0039_63B20F22.MER	0039_63B20F22.MER
2023-01-11T17:31:44Z	0039_63BEEF95.LOG	0039_63BEEF95.LOG	0039_63C225C6.MER	0039_63C225C6.MER
2023-01-21T07:26:01Z	0039_63CB91B4.LOG	0039_63CB91B4.LOG	0039_63CEC530.MER	0039_63CEC530.MER
2023-05-04T10:50:29Z	0039_64538888.LOG	0039_64538888.LOG	0039_6456B20E.MER	0039_6456B20E.MER
2023-05-06T20:35:16Z	0039_6456B335.LOG	0039_6456B335.LOG	0039_6459C0C0.MER	0039_6459C0C0.MER
2023-09-20T18:44:45Z	0039_650B37BE.LOG	0039_650B37BE.LOG	0039_650E663F.MER	0039_650E663F.MER
2023-11-01T05:37:57Z	0039_6541E2A2.LOG	0039_6541E2A2.LOG	0039_654513FE.MER	0039_654513FE.MER
2024-01-05T12:18:07Z	0039_6597F0C2.LOG	0039_6597F0C2.LOG	0039_659AFD77.MER	0039_659AFD77.MER
2024-04-03T20:04:36Z	0039_660DB47C.LOG	0039_660DB47C.LOG	0039_6610B44F.MER	0039_6610B44F.MER
2024-04-15T14:30:11Z	0039_6619FFEC.LOG	<none>	0039_661D386E.MER	<none>
2024-04-15T14:38:23Z	0039_6619FFEC.LOG	<none>	0039_661D386E.MER	<none>
