legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-10-14T21:19:18Z	0071_61689BA6.BIN	0071_61689BA6.BIN	0071_616D75A0.MER	0071_616D75A0.MER
2021-11-04T08:41:02Z	0071_61839A6F.BIN	0071_61839A6F.BIN	0071_6186E3A0.MER	0071_6186E3A0.MER
2022-01-11T19:00:52Z	0071_61DDCDAA.BIN	0071_61DDCDAA.BIN	0071_61E18D6E.MER	0071_61E18D6E.MER
2022-02-10T12:24:59Z	0071_62050040.BIN	0071_62050040.BIN	0071_6205066D.MER	0071_6205066D.MER
2022-05-27T08:42:49Z	0071_62908D69.BIN	0071_62908D69.BIN	0071_62960F9A.MER	0071_62960F9A.MER
2022-06-24T19:38:41Z	0071_62B61099.BIN	0071_62B61099.BIN	0071_62BA3CF4.MER	0071_62BA3CF4.MER
2022-09-24T03:23:29Z	0071_632E6F91.BIN	0071_632E6F91.BIN	0071_63366B3A.MER	0071_63366B3A.MER
2022-12-03T15:46:39Z	0071_638B6D4D.BIN	0071_638B6D4D.BIN	0071_638F2BC0.MER	0071_638F2BC0.MER
2023-05-17T20:34:58Z	0071_6465384E.BIN	0071_6465384E.BIN	0071_64687A4C.MER	0071_64687A4C.MER
2023-12-26T19:03:57Z	0071_658B2087.BIN	0071_658B2087.BIN	0071_658B6729.MER	0071_658B6729.MER
2024-01-04T10:09:39Z	0071_6596827E.BIN	0071_6596827E.BIN	0071_659724A1.MER	0071_659724A1.MER
2024-01-17T21:36:55Z	0071_65A7BDBD.BIN	<none>	0071_65A83ED4.MER	<none>
