legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-09-30T13:38:09Z	0036_5D9203E1.LOG	0036_5D9203E1.LOG	0036_5D9D2634.MER	0036_5D9D2634.MER
2019-12-20T17:41:00Z	0036_5DFD05AE.LOG	0036_5DFD05AE.LOG	0036_5E0829DC.MER	0036_5E0829DC.MER
2020-07-30T22:39:03Z	0036_5F2349B4.LOG	0036_5F2349B4.LOG	0036_5F2E6C3E.MER	0036_5F2E6C3E.MER
2020-08-08T09:18:20Z	0036_5F2E6C76.LOG	0036_5F2E6C76.LOG	0036_5F34DC54.MER	0036_5F34DC54.MER
2020-11-16T01:43:14Z	0036_5FB1D7B0.LOG	0036_5FB1D7B0.LOG	0036_5FBCFC36.MER	0036_5FBCFC36.MER
2020-12-01T04:58:33Z	0036_5FC5CB8E.LOG	0036_5FC5CB8E.LOG	0036_5FCD5E8F.MER	0036_5FCD5E8F.MER
2021-04-25T12:18:58Z	0036_60855C49.LOG	0036_60855C49.LOG	0036_6088970A.MER	0036_6088970A.MER
2021-08-23T13:45:52Z	0036_6123A4AE.LOG	0036_6123A4AE.LOG	0036_612EC7EE.MER	0036_612EC7EE.MER
2022-01-08T09:11:25Z	0036_61D9534B.LOG	0036_61D9534B.LOG	0036_61E47556.MER	0036_61E47556.MER
2023-03-02T12:10:13Z	0036_64008FF9.LOG	0036_64008FF9.LOG	0036_640BB2E0.MER	0036_640BB2E0.MER
2023-04-11T10:52:54Z	0036_6435395F.LOG	0036_6435395F.LOG	0036_643E6F1E.MER	0036_643E6F1E.MER
2025-08-20T00:05:23Z	0036_68A1A790.LOG	<none>	0036_68A50FB4.MER	<none>
2025-08-20T00:23:30Z	0036_68A1A790.LOG	<none>	0036_68A50FB4.MER	<none>
