legacy_timestamp	log_before	log_after	mer_before	mer_after
2020-06-23T21:31:04Z	0031_5EF27307.LOG	0031_5EF27307.LOG	0031_5EFD9707.MER	0031_5EFD9707.MER
2020-09-28T01:13:42Z	0031_5F71375B.LOG	0031_5F71375B.LOG	0031_5F7C59AE.MER	0031_5F7C59AE.MER
2021-10-02T12:27:01Z	0031_61584D97.LOG	0031_61584D97.LOG	0031_6161C4F6.MER	0031_6161C4F6.MER
2021-12-05T05:50:38Z	0031_61AC511C.LOG	0031_61AC511C.LOG	0031_61B7711A.MER	0031_61B7711A.MER
2022-12-05T01:23:01Z	0031_638D4665.LOG	0031_638D4665.LOG	0031_6392C874.MER	0031_6392C874.MER
2022-12-09T05:42:21Z	0031_6392C8B2.LOG	0031_6392C8B2.LOG	0031_639DE93D.MER	0031_639DE93D.MER
2023-04-18T10:32:42Z	0031_643E6FF7.LOG	0031_643E6FF7.LOG	0031_64462210.MER	0031_64462210.MER
2023-05-19T09:06:16Z	0031_64673905.LOG	0031_64673905.LOG	0031_646A8C02.MER	0031_646A8C02.MER
2023-06-10T03:52:55Z	0031_6483F212.LOG	0031_6483F212.LOG	0031_648BA306.MER	0031_648BA306.MER
2023-07-09T00:24:33Z	0031_64A9FB3B.LOG	0031_64A9FB3B.LOG	0031_64B3E208.MER	0031_64B3E208.MER
2025-08-14T05:20:28Z	0031_689250C6.LOG	<none>	0031_689D6F42.MER	<none>
