legacy_timestamp	log_before	log_after	mer_before	mer_after
2018-08-20T14:30:51Z	10_5B7ACF01.LOG	10_5B7ACF01.LOG	10_5B801C20.MER	10_5B801C20.MER
2019-03-06T21:37:57Z	10_5C803C58.LOG	10_5C803C58.LOG	10_5C85174E.MER	10_5C85174E.MER
2019-07-09T18:32:45Z	10_5D24DBE5.LOG	10_5D24DBE5.LOG	10_5D2B11F4.MER	10_5D2B11F4.MER
2020-02-26T13:48:07Z	10_5E567598.LOG	10_5E567598.LOG	10_5E59A9F4.MER	10_5E59A9F4.MER
2020-05-03T17:14:30Z	10_5EAEFA69.LOG	10_5EAEFA69.LOG	10_5EB203F5.MER	10_5EB203F5.MER
2021-03-11T02:12:31Z	10_6049792F.LOG	10_6049792F.LOG	10_604CDD30.MER	10_604CDD30.MER
2021-07-07T13:05:38Z	10_60E5A07A.LOG	10_60E5A07A.LOG	10_60EC7CF0.MER	10_60EC7CF0.MER
2021-07-29T12:00:25Z	10_610296CC.LOG	10_610296CC.LOG	10_610A415D.MER	10_610A415D.MER
2021-09-28T17:49:47Z	10_6153541E.LOG	10_6153541E.LOG	10_61580942.MER	10_61580942.MER
2021-11-20T01:27:04Z	10_61984D69.LOG	10_61984D69.LOG	10_619C0B8F.MER	10_619C0B8F.MER
2021-11-25T19:03:43Z	10_619FCDB0.LOG	10_619FCDB0.LOG	10_61AAFD7F.MER	10_61AAFD7F.MER
2022-01-11T03:14:27Z	10_61DCF49C.LOG	10_61DCF49C.LOG	10_61E18EF4.MER	10_61E18EF4.MER
2022-07-21T11:47:11Z	10_62D9386E.LOG	10_62D9386E.LOG	10_62E0BC92.MER	10_62E0BC92.MER
2022-08-03T03:07:54Z	10_62E9E219.LOG	10_62E9E219.LOG	10_62F2AAA8.MER	10_62F2AAA8.MER
2022-09-01T00:15:12Z	10_630FF7A2.LOG	10_6310402E.LOG	10_63103EB8.MER	10_63103EB8.MER
2022-09-11T05:43:54Z	10_631D70E6.LOG	10_631D70E6.LOG	10_63220314.MER	10_63220314.MER
2022-12-26T11:18:26Z	10_63A97E62.LOG	10_63A97E62.LOG	10_63AC8A2C.MER	10_63AC8A2C.MER
2023-01-09T23:22:42Z	10_63BC9FD7.LOG	10_63BC9FD7.LOG	10_63C05D98.MER	10_63C05D98.MER
2023-01-12T19:32:14Z	10_63C05E03.LOG	10_63C05E03.LOG	10_63C48348.MER	10_63C48348.MER
2023-01-18T06:20:49Z	10_63C78E52.LOG	10_63C78E52.LOG	10_63D2AF2C.MER	10_63D2AF2C.MER
2023-03-18T09:07:42Z	10_64157BED.LOG	10_64157BED.LOG	10_641A3018.MER	10_641A3018.MER
2023-03-28T04:11:51Z	10_642266DE.LOG	10_642266DE.LOG	10_6426784E.MER	10_6426784E.MER
2023-05-06T17:39:44Z	10_64568EEE.LOG	10_64568EEE.LOG	10_645B89D0.MER	10_645B89D0.MER
2023-05-21T11:37:56Z	10_6469FBAF.LOG	10_6469FBAF.LOG	10_646DA126.MER	10_646DA126.MER
2023-05-24T05:45:02Z	10_646DA227.LOG	10_646DA227.LOG	10_64719ABA.MER	10_64719ABA.MER
2023-05-24T06:25:17Z	10_646DA227.LOG	10_646DA227.LOG	10_64719ABA.MER	10_64719ABA.MER
2023-06-30T20:41:31Z	10_649F3C2F.LOG	10_649F3C2F.LOG	10_64A317AC.MER	10_64A317AC.MER
2023-12-21T17:20:51Z	10_65847289.LOG	10_65847289.LOG	10_6587B722.MER	10_6587B722.MER
2024-01-31T13:30:35Z	10_65BA4740.LOG	10_65BA4740.LOG	10_65C5D0E8.MER	10_65C5D0E8.MER
2024-02-21T06:58:56Z	10_65D59DBF.LOG	10_65D59DBF.LOG	10_65DFC714.MER	10_65DFC714.MER
2024-04-13T12:12:33Z	10_661A68BC.LOG	10_661A68BC.LOG	10_66205FC2.MER	10_66205FC2.MER
2024-06-26T17:11:52Z	10_667C4A6B.LOG	10_667C4A6B.LOG	10_667FE986.MER	10_667FE986.MER
2024-06-29T11:10:17Z	10_667FE9FA.LOG	10_667FE9FA.LOG	10_668B697A.MER	10_668B697A.MER
2024-07-11T14:46:14Z	10_668FE7CE.LOG	10_668FE7CE.LOG	10_6692E072.MER	10_6692E072.MER
2024-07-13T20:29:23Z	10_6692E0B2.LOG	10_6692E0B2.LOG	10_669BE8D0.MER	10_669BE8D0.MER
2024-07-20T17:06:30Z	10_669BEA63.LOG	10_669BEA63.LOG	10_669F7F0A.MER	10_669F7F0A.MER
2024-07-23T10:11:51Z	10_669F7F47.LOG	10_669F7F47.LOG	10_669F7F0A.MER	10_66A3955B.MER
2024-09-08T01:31:02Z	10_66DCF65C.LOG	10_66DCF65C.LOG	10_66E6CB4C.MER	10_66E6CB4C.MER
2024-10-01T23:07:52Z	10_66FC788E.LOG	10_66FC788E.LOG	10_670806F4.MER	10_670806F4.MER
2024-10-14T10:05:27Z	10_670CEB86.LOG	10_670CEB86.LOG	10_6711115C.MER	10_6711115C.MER
2024-10-29T11:06:06Z	10_6720BF3B.LOG	10_6720BF3B.LOG	10_6725D384.MER	10_6725D384.MER
2024-11-10T12:20:34Z	10_6730A0EE.LOG	10_6730A0EE.LOG	10_673A602E.MER	10_673A602E.MER
2024-12-08T06:49:27Z	10_6751FBCC.LOG	<none>	10_6759E224.MER	10_6759E224.MER
2024-12-11T19:12:04Z	10_6751FBCC.LOG	<none>	10_6759E224.MER	<none>
2024-12-11T19:22:09Z	10_6751FBCC.LOG	<none>	10_6759E224.MER	<none>
