legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-10-16T04:25:12Z	0029_5DA699E9.LOG	0029_5DA699E9.LOG	0029_5DAD65CB.MER	0029_5DAD65CB.MER
2020-01-27T11:26:43Z	0029_5E2EBCA3.LOG	0029_5E2EBCA3.LOG	0029_5E31DE58.MER	0029_5E31DE58.MER
2020-10-01T06:54:19Z	0029_5F757B7E.LOG	0029_5F757B7E.LOG	0029_5F7C92B2.MER	0029_5F7C92B2.MER
2021-04-01T16:40:47Z	0029_6065E923.LOG	0029_6065E923.LOG	0029_606B0EA4.MER	0029_606B0EA4.MER
2021-10-18T13:26:20Z	0029_616D732F.LOG	0029_616D732F.LOG	0029_61717056.MER	0029_61717056.MER
2022-11-11T16:32:02Z	0029_636E777D.LOG	0029_636E777D.LOG	0029_63721A7C.MER	0029_63721A7C.MER
2024-01-31T16:30:46Z	0029_65BA7393.LOG	0029_65BA7393.LOG	0029_65C59798.MER	0029_65C59798.MER
2024-02-13T10:32:23Z	0029_65CB43AD.LOG	0029_65CB43AD.LOG	0029_65D1ED92.MER	0029_65D1ED92.MER
2025-08-17T06:59:00Z	0029_68965997.LOG	<none>	0029_68A17AD2.MER	<none>
