legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-10-16T02:18:38Z	0003_616A350D.BIN	0003_616A350D.BIN	0003_6174894B.MER	0003_6174894B.MER
2021-10-31T18:44:25Z	0003_617EDF19.BIN	0003_617EDF19.BIN	0003_6189365A.MER	0003_6189365A.MER
2022-07-22T06:43:15Z	0003_62DA44ED.BIN	0003_62DA44ED.BIN	0003_62E3B9ED.MER	0003_62E3B9ED.MER
2022-08-05T15:28:50Z	0003_62ED3001.BIN	0003_62ED3001.BIN	0003_62F6A8A6.MER	0003_62F6A8A6.MER
2022-11-21T05:22:29Z	0003_637B0987.BIN	0003_637B0987.BIN	0003_63847C80.MER	0003_63847C80.MER
2022-12-19T21:53:35Z	0003_63A0DB53.BIN	0003_63A0DB53.BIN	0003_63AA4F3C.MER	0003_63AA4F3C.MER
2023-02-25T19:05:36Z	0003_63FA59E5.BIN	0003_63FA59E5.BIN	0003_6404AD40.MER	0003_6404AD40.MER
2023-12-28T09:14:23Z	0003_658D3AFF.BIN	0003_658D3AFF.BIN	0003_659790A1.MER	0003_659790A1.MER
2024-07-27T01:00:35Z	0003_66A4449B.BIN	0003_66A4449B.BIN	0003_66AE98A0.MER	0003_66AE98A0.MER
2024-09-12T01:23:31Z	0003_66E2401B.BIN	0003_66E2401B.BIN	0003_66EC9754.MER	0003_66EC9754.MER
2025-01-31T04:24:21Z	0003_679C4CD3.BIN	0003_679C4CD3.BIN	0003_67A6A8C6.MER	0003_67A6A8C6.MER
2025-11-02T18:33:30Z	0003_6907A291.BIN	0003_6907A291.BIN	0003_6911FE7A.MER	0003_6911FE7A.MER
2026-04-01T20:02:08Z	0003_69CD0C7F.BIN	<none>	0003_69CD76E3.MER	<none>
