legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-12-02T22:39:53Z	0004_61A94905.BIN	0004_61A94905.BIN	0004_61B39FC6.MER	0004_61B39FC6.MER
2022-01-11T03:16:34Z	0004_61DCF469.BIN	0004_61DCF469.BIN	0004_61E74917.MER	0004_61E74917.MER
2022-04-23T20:16:56Z	0004_62645C97.BIN	0004_62645C97.BIN	0004_626EB215.MER	0004_626EB215.MER
2022-05-09T12:37:53Z	0004_62790628.BIN	0004_62790628.BIN	0004_62835F0C.MER	0004_62835F0C.MER
2022-05-25T04:51:23Z	0004_628DB38C.BIN	0004_628DB38C.BIN	0004_62980896.MER	0004_62980896.MER
2022-07-26T22:10:53Z	0004_62E06285.BIN	0004_62E06285.BIN	0004_62EABD70.MER	0004_62EABD70.MER
2022-11-05T19:43:46Z	0004_6366B9EB.BIN	0004_6366B9EB.BIN	0004_637113D2.MER	0004_637113D2.MER
2022-11-21T12:36:42Z	0004_637B67B2.BIN	0004_637B67B2.BIN	0004_6385C0E8.MER	0004_6385C0E8.MER
2023-02-07T21:10:29Z	0004_63E2BC24.BIN	0004_63E2BC24.BIN	0004_63ED0EEE.MER	0004_63ED0EEE.MER
2023-10-01T00:15:07Z	0004_6518B479.BIN	0004_6518B479.BIN	0004_65230C44.MER	0004_65230C44.MER
2024-06-23T11:26:43Z	0004_667804B3.BIN	0004_667804B3.BIN	0004_66825D25.MER	0004_66825D25.MER
2024-07-17T00:20:19Z	0004_669708E1.BIN	0004_669708E1.BIN	0004_66A15E9C.MER	0004_66A15E9C.MER
2025-07-29T20:20:50Z	0004_68892746.BIN	0004_68892746.BIN	0004_68937DB0.MER	0004_68937DB0.MER
2025-08-14T12:41:41Z	0004_689DD3A7.BIN	0004_689DD3A7.BIN	0004_68A82DA6.MER	0004_68A82DA6.MER
2026-05-23T18:37:45Z	0004_6A11EBDD.BIN	0004_6A11EBDD.BIN	0004_6A1C5158.MER	0004_6A1C5158.MER
2026-05-23T19:13:08Z	0004_6A11EBDD.BIN	0004_6A11EBDD.BIN	0004_6A1C5158.MER	0004_6A1C5158.MER
2026-05-31T16:01:34Z	0004_6A1C51B5.BIN	0004_6A1C51B5.BIN	0004_6A26B6A0.MER	0004_6A26B6A0.MER
2026-06-16T08:50:14Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
2026-06-16T09:17:35Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
2026-06-16T09:25:40Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
2026-06-16T09:38:13Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
2026-06-24T05:52:14Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
2026-06-24T06:09:07Z	0004_6A26B6FD.BIN	<none>	0004_6A310BAA.MER	<none>
