legacy_timestamp	log_before	log_after	mer_before	mer_after
2020-01-27T11:28:13Z	11_5E2EC063.LOG	11_5E2EC063.LOG	11_5E31DE58.MER	11_5E31DE58.MER
2021-03-23T01:36:55Z	11_605944DA.LOG	11_605944DA.LOG	11_606464CA.MER	11_606464CA.MER
2021-08-05T16:58:31Z	11_610C1758.LOG	11_610C1758.LOG	11_610F61D0.MER	11_610F61D0.MER
2023-10-12T07:13:25Z	11_65279B02.LOG	11_65279B02.LOG	11_652D194E.MER	11_652D194E.MER
2024-01-18T05:30:21Z	11_65A8B5BB.LOG	11_65A8B5BB.LOG	11_65AC0B7C.MER	11_65AC0B7C.MER
2024-02-29T21:29:05Z	11_65E0F414.LOG	11_65E0F414.LOG	11_65EB68C4.MER	11_65EB68C4.MER
2024-03-08T19:45:23Z	11_65EB693A.LOG	11_65EB693A.LOG	11_65EE5784.MER	11_65EE5784.MER
2024-04-01T11:27:49Z	11_660A92B2.LOG	11_660A92B2.LOG	11_660FFA57.MER	11_660FFA57.MER
2024-05-08T13:27:23Z	11_663B7C07.LOG	11_663B7C07.LOG	11_66412D88.MER	11_66412D88.MER
2024-06-27T19:12:19Z	11_667DB598.LOG	11_667DB598.LOG	11_66893790.MER	11_66893790.MER
2024-11-23T09:13:50Z	11_67419B45.LOG	11_67419B45.LOG	11_6744C6AE.MER	11_6744C6AE.MER
2025-03-17T21:24:46Z	11_67CD0DC9.LOG	<none>	11_67D8904A.MER	<none>
